"","date","AT","BE","DE","DK","ES","FI","FR","GB","GR","I8","IE","IT","PT","SE"
"1","2000",60.36,49.64,84.35,57.21,60.55,58.67,48.8,43.47,87.59,66.2032954432352,78.72,71.99,90.72,35.38
"2","2001",60.82,52.03,84.43,60.56,66.47,57.74,52.6,47,100.2,69.6053101050751,90.59,76.18,95.66,38.19
"3","2002",61.21,55.34,83.26,62.74,76.7,61.4,57.2,54.58,114.08,74.1360587992986,94.62,85.25,96.2,40.63
"4","2003",61.36,59.2,83.59,64.73,89.88,65.25,64,63.19,120.23,78.4537929494972,108.18,90.49,97.27,43.29
"5","2004",60.21,64.34,82.33,70.53,105.22,70.5,73.7,70.68,123.02,83.6330671588299,120.26,96.07,97.92,47.35
"6","2005",63.21,72.49,83.3,82.93,119.48,76.25,85,78.96,136.42,89.7262352235183,131.89,103.4,100.17,51.93
"7","2006",65.82,79.56,83,102.89,135.5,81.56,95.3,85.15,154.48,95.6353814636415,151.5,109.33,102.21,58.39
"8","2007",68.89,85.76,81.2,105.65,148.79,86.37,100.7,93.59,163.67,100,162.81,114.79,103.61,65.71
"9","2008",69.58,89.54,82.3,100.19,146.66,87.06,101.62,89.37,166.43,101.860142069293,151.51,117.82,107.53,66.42
"10","2009",72.34,89.12,83,88.19,136.97,88.31,95.33,81.43,160.24,98.2695620677038,122.49,117.24,106.54,68.4
"11","2010",76.8,91.92,83.9,90.66,134.55,93.88,99.91,86.09,152.78,98.9294749183629,105.96,116.3,107.36,73.87
"12","2011",81.6,95.61,86.8,89.12,124.27,96.87,105.71,84.84,144.43,99.8995581628086,87.86,117.17,102.09,75.72
"13","2012",87.57,97.75,89.8,86.71,105.9,99.21,105.14,85.18,127.59,98.2604448144991,76.04,113.91,94.87,76.61
"14","2013",92.1,98.9,92.6,90.09,96.24,100.35,103.11,87.37,113.75,96.4047013170944,76.99,107.34,93.09,80.81
"15","2014",95.33,98.35,95.5,93.49,96.54,100,101.5,94.38,105.25,96.7627249248975,89.72,102.69,97.04,88.4
"16","2015",100,100,100,100,100,100,100,100,100,98.3565100587845,100,100,100,100
"17","2016",108.53,102.64,106,104.68,104.62,100.61,101.01,106.97,97.56,101.531846034448,107.46,99.23,107.12,108.63
